SAN JERONIMO;82105;82105;-32,2399352;-61,231266;SANTA FE;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>82105</Literal></PropertyIsEqualTo></Filter>;80840;84;40;28;94;25662;25711;12;24356;5;7;521;6;3
YAVI;38112;38112;-22,32981174;-65,82598231;JUJUY;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>38112</Literal></PropertyIsEqualTo></Filter>;20806;87;51;0;59;5625;5668;14;4793;14;34;1106;16;6
EL CUY;62035;62035;-39,866718292;-68,703437805;RÍO NEGRO;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>62035</Literal></PropertyIsEqualTo></Filter>;5280;53;0;0;70;1869;1872;12;1749;6;14;148;18;6
PERGAMINO;06623;06623;-33,5893048;-60,7727646;BUENOS AIRES;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>06623</Literal></PropertyIsEqualTo></Filter>;104590;91;66;39;96;34768;34817;10;33511;3;5;617;4;2
VILLA GESELL;06868;06868;-37,336673158;-57,032501469;BUENOS AIRES;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>06868</Literal></PropertyIsEqualTo></Filter>;31730;89;48;43;95;10374;10508;14;9971;3;7;424;8;4
GENERAL PAZ;06343;06343;-35,451905725;-58,269541772;BUENOS AIRES;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>06343</Literal></PropertyIsEqualTo></Filter>;11202;71;42;55;97;3782;3789;10;3647;3;6;118;4;2
ATREUCO;42007;42007;-37,126296112;-63,82921122;LA PAMPA;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>42007</Literal></PropertyIsEqualTo></Filter>;10153;89;35;83;97;3586;3605;8;3499;2;2;19;1;0
25 DE MAYO;62091;62091;-41,5127138;-69,51735638;RÍO NEGRO;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>62091</Literal></PropertyIsEqualTo></Filter>;15743;86;3;51;74;4673;4701;14;4511;3;7;180;12;5
RAWSON;70077;70077;-31,6492;-68,5015;SAN JUAN;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>70077</Literal></PropertyIsEqualTo></Filter>;114368;94;13;60;94;29520;29534;20;26331;10;16;1760;9;5
GENERAL JUAN MADARIAGA;06315;06315;-37,024627686;-56,956073761;BUENOS AIRES;;;;https://gis.obraspublicas.gob.ar/layers/public_wxs/;departamentos_2010_antartida;<Filter><PropertyIsEqualTo><PropertyName>codigo</PropertyName><Literal>06315</Literal></PropertyIsEqualTo></Filter>;19747;41;49;86;98;6332;6342;14;6162;2;5;158;7;3
