LA ESCONDIDA;220560140;220560140;-27,107325;-59,447533;GENERAL DONOVAN;CHACO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>220560140</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;4028;;4028;998;36;0;1076;1098;1030;252;1061;37;103;66;164;70
QUILINO;140490378;140490378;-30,215955;-64,502978;ISCHILIN;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140490378</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;5262;;5262;1365;24;13;1149;1387;1312;191;1325;62;80;18;187;92
CARRENLEUFU;260568056;260568056;-43,585689;-71,700902;LANGUIÑEO;CHUBUT;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>260568056</Literal></PropertyIsEqualTo></Filter>;Comuna Rural;;;;317;;317;95;14;1;83;95;82;29;83;12;15;3;16;2
LAGO BLANCO;260848112;260848112;-45,946859;-71,264111;RIO SENGUER;CHUBUT;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>260848112</Literal></PropertyIsEqualTo></Filter>;Comuna Rural;;;;194;;194;63;0;0;38;65;64;40;62;3;5;2;1;0
HURLINGHAM;064080408;064080408;-34,593093;-58,635721;HURLINGHAM;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>064080408</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;181241;;181241;19174;6175;44314;50018;55122;54231;8473;50403;4719;6179;1460;3775;1595
GODOY;820282455;820282455;-33,36971;-60,509413;CONSTITUCION;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820282455</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;1386;;1386;385;2;1;438;462;456;89;454;8;12;4;20;11
VILLA MERCEDES;740350077;740350077;-33,67737;-65,473143;GENERAL PEDERNERA;SAN LUIS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>740350077</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;112128;;112128;31567;26194;21989;31365;32886;32448;3842;30533;2353;2724;371;1993;1205
ABDON CASTRO TOLAY;380076007;380076007;-23,338641;-66,090143;COCHINOCA;JUJUY;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>380076007</Literal></PropertyIsEqualTo></Filter>;Comision Municipal;;;;1338;;1338;203;1;0;340;351;272;60;315;36;68;32;108;22
28 DE JULIO;260425014;260425014;-43,380977;-65,838688;GAIMAN;CHUBUT;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>260425014</Literal></PropertyIsEqualTo></Filter>;Comision de Fomento;;;;797;;797;140;1;144;183;185;178;60;183;2;8;6;14;6
NAUPA HUEN;620355098;620355098;-39,828285;-69,508973;EL CUY;RÍO NEGRO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>620355098</Literal></PropertyIsEqualTo></Filter>;Comision de Fomento;;;;170;;170;46;0;0;42;48;47;0;48;0;25;25;7;5
