LA ESCONDIDA;220560140010000;220560140010000;-27,107324847;-59,44753251;LA ESCONDIDA;GENERAL DONOVAN;CHACO;;
KILOMETRO 548;220560140000017;220560140000017;-27,09668174;-59,421151046;LA ESCONDIDA;GENERAL DONOVAN;CHACO;;
COLONIA EL CACIQUE LLORON;220560140000004;220560140000004;-27,048592084;-59,437435934;LA ESCONDIDA;GENERAL DONOVAN;CHACO;;
LEGUA 41;220560140000019;220560140000019;-27,08111444;-59,385775809;LA ESCONDIDA;GENERAL DONOVAN;CHACO;;
LAS CHACRAS;140490378000078;140490378000078;-30,285767867;-64,378978077;QUILINO;ISCHILIN;CÓRDOBA;;
LOS CADILLOS;140490378000092;140490378000092;-30,101866886;-64,451999841;QUILINO;ISCHILIN;CÓRDOBA;;
VILLA QUILINO;140490378130000;140490378130000;-30,210115748;-64,477567416;QUILINO;ISCHILIN;CÓRDOBA;;
QUILINO;140490378100000;140490378100000;-30,215955221;-64,502977704;QUILINO;ISCHILIN;CÓRDOBA;;
CARRENLEUFU;260568056020000;260568056020000;-43,585688544;-71,700902024;CARRENLEUFU;LANGUIÑEO;CHUBUT;;
LAGO BLANCO;260848112060000;260848112060000;-45,946859419;-71,264110664;LAGO BLANCO;RIO SENGUER;CHUBUT;;
VILLA SANTOS TESEI;064080408010002;064080408010002;-34,612394445;-58,653810369;HURLINGHAM;HURLINGHAM;BUENOS AIRES;;
HURLINGHAM;064080408010001;064080408010001;-34,593093136;-58,635720951;HURLINGHAM;HURLINGHAM;BUENOS AIRES;;
WILLIAM C. MORRIS;064080408010003;064080408010003;-34,581562283;-58,658300537;HURLINGHAM;HURLINGHAM;BUENOS AIRES;;
ORATORIO MORANTE;820282455000018;820282455000018;-33,433502197;-60,402519226;GODOY;CONSTITUCION;SANTA FE;;
GODOY;820282455100000;820282455100000;-33,369709873;-60,509413022;GODOY;CONSTITUCION;SANTA FE;;
CAMPO LA VICTORIA;820282455000004;820282455000004;-33,406167903;-60,477660698;GODOY;CONSTITUCION;SANTA FE;;
VILLA MERCEDES;740350077070002;740350077070002;-33,677369777;-65,473143366;VILLA MERCEDES;GENERAL PEDERNERA;SAN LUIS;;
LA RIVERA;740350077000076;740350077000076;-33,694173663;-65,503894189;VILLA MERCEDES;GENERAL PEDERNERA;SAN LUIS;;
DIQUE VULPIANI;740350077000024;740350077000024;-33,661546991;-65,535726893;VILLA MERCEDES;GENERAL PEDERNERA;SAN LUIS;;
LA RIBERA;740350077070001;740350077070001;-33,691812234;-65,50073106;VILLA MERCEDES;GENERAL PEDERNERA;SAN LUIS;;
SAN FRANCISCO DE ALFARCITO;380076007080000;380076007080000;-23,275302523;-65,946380462;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
SANTA ANA DE LA PUNA;380076007085000;380076007085000;-23,1466006;-66,032103332;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
TUSAQUILLAS;380076007100000;380076007100000;-23,170945539;-65,973242795;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
SANTA ANA;380076007000119;380076007000119;-23,147424698;-66,031219482;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
TRANCAS;380076007000136;380076007000136;-23,048007965;-66,13256073;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
RINCONADILLAS;380076007070000;380076007070000;-23,288664351;-65,941233536;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
SALADO;380076007000116;380076007000116;-23,048610687;-66,092857361;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
ABDON CASTRO TOLAY;380076007010000;380076007010000;-23,338641103;-66,090143228;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
SANTUARIO DE TRES POZOS;380076007090000;380076007090000;-23,515506956;-65,947612869;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
TOLARITO;380076007000132;380076007000132;-23,29167366;-66,081336975;ABDON CASTRO TOLAY;COCHINOCA;JUJUY;;
28 DE JULIO;260425014040000;260425014040000;-43,38097713;-65,838687743;28 DE JULIO;GAIMAN;CHUBUT;;
NAUPA HUEN;620355098060000;620355098060000;-39,828284593;-69,508972688;NAUPA HUEN;EL CUY;RÍO NEGRO;;
CHILCA JULIANA;861686259010000;861686259010000;-28,807483356;-63,486777342;CHILCA JULIANA;SALAVINA;SANTIAGO DEL ESTERO;;
EL MANZANO;500770077000049;500770077000049;-36,107008;-69,761199;MALARGUE;MALARGUE;MENDOZA;;
LAS CHACRAS;500770077000092;500770077000092;-36,188674927;-69,664405823;MALARGUE;MALARGUE;MENDOZA;;
MALARGUE;500770077040000;500770077040000;-35,477010712;-69,588649187;MALARGUE;MALARGUE;MENDOZA;;
LA JUNTA;500770077000079;500770077000079;-35,267583702;-69,500300167;MALARGUE;MALARGUE;MENDOZA;;
LUANCO;500770077000112;500770077000112;-37,185493469;-68,392372131;MALARGUE;MALARGUE;MENDOZA;;
LAS LEÑAS;500770077030000;500770077030000;-35,153965078;-70,081791099;MALARGUE;MALARGUE;MENDOZA;;
EL CHACAY;500770077000044;500770077000044;-35,357404049;-69,582385228;MALARGUE;MALARGUE;MENDOZA;;
AGUA ESCONDIDA;500770077010000;500770077010000;-36,153239036;-68,304842854;MALARGUE;MALARGUE;MENDOZA;;
MINACAR;500770077000124;500770077000124;-35,869655609;-70,069244385;MALARGUE;MALARGUE;MENDOZA;;
EL INFIERNILLO;500770077000048;500770077000048;-36,757041931;-69,184188843;MALARGUE;MALARGUE;MENDOZA;;
LOS CARRIZALES;500770077000106;500770077000106;-36,700206757;-68,372016907;MALARGUE;MALARGUE;MENDOZA;;
EL VATRO;500770077000054;500770077000054;-36,702293396;-69,942199707;MALARGUE;MALARGUE;MENDOZA;;
RINCON CHICO;500770077000141;500770077000141;-37,137336731;-69,583343506;MALARGUE;MALARGUE;MENDOZA;;
LA SALINILLA;500770077000084;500770077000084;-36,280342102;-68,570884705;MALARGUE;MALARGUE;MENDOZA;;
EL ALAMBRADO;500770077000038;500770077000038;-36,26989321;-69,85749485;MALARGUE;MALARGUE;MENDOZA;;
CALMUCO;500770077000027;500770077000027;-36,479148865;-69,826599121;MALARGUE;MALARGUE;MENDOZA;;
LLANO BLANCO;500770077000097;500770077000097;-35,916114807;-69,768753052;MALARGUE;MALARGUE;MENDOZA;;
PATA MORA;500770077000129;500770077000129;-37,201000214;-69,107246399;MALARGUE;MALARGUE;MENDOZA;;
RIO GRANDE;500770077000149;500770077000149;-35,870882529;-69,806678072;MALARGUE;MALARGUE;MENDOZA;;
LOS CORRALES;500770077000108;500770077000108;-36,149475098;-68,346611023;MALARGUE;MALARGUE;MENDOZA;;
EL CARAPACHO;500770077000042;500770077000042;-35,813093855;-69,190692234;MALARGUE;MALARGUE;MENDOZA;;
LA VALENCIANA;500770077000086;500770077000086;-35,546673212;-69,901221615;MALARGUE;MALARGUE;MENDOZA;;
LOS MOLLES;500770077000109;500770077000109;-35,1541609;-69,95182839;MALARGUE;MALARGUE;MENDOZA;;
MOGOTES ASPEROS;140702371000035;140702371000035;-31,18595404;-65,247435865;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
OJO DE AGUA;140702371000037;140702371000037;-31,191163672;-65,363438827;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
ESTANCIA DE GUADALUPE;140702371030000;140702371030000;-31,124210161;-65,226900206;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
SAN FELIPE;140702371000052;140702371000052;-31,215607141;-65,355274494;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
TRES LOMAS;140702371000060;140702371000060;-31,147468567;-65,182685852;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
LA ARGENTINA;140702371000020;140702371000020;-31,222911549;-65,302735852;ESTANCIA DE GUADALUPE;MINAS;CÓRDOBA;;
CORREA;820562903070000;820562903070000;-32,84946108;-61,254556908;CORREA;IRIONDO;SANTA FE;;
BERRETTA;820562903000001;820562903000001;-32,929034308;-61,265623766;CORREA;IRIONDO;SANTA FE;;
ESTACION BERRETA;820562903000023;820562903000023;-32,9365041;-61,2560121;CORREA;IRIONDO;SANTA FE;;
EL CHALTEN;780285028020000;780285028020000;-49,331973118;-72,891626709;EL CHALTEN;LAGO ARGENTINO;SANTA CRUZ;;
EL ARBOLITO;061750175020000;061750175020000;-33,914783802;-60,943808185;COLON;COLON;BUENOS AIRES;;
LOS BARRILES;061750175000009;061750175000009;-33,9462889;-61,2276668;COLON;COLON;BUENOS AIRES;;
COLONIA LA PERLA;061750175000004;061750175000004;-33,970424262;-61,076205346;COLON;COLON;BUENOS AIRES;;
SARASA;061750175040000;061750175040000;-34,052335309;-61,201904091;COLON;COLON;BUENOS AIRES;;
PEARSON;061750175030000;061750175030000;-33,651896303;-60,892223988;COLON;COLON;BUENOS AIRES;;
COLON;061750175010000;061750175010000;-33,897863361;-61,099560506;COLON;COLON;BUENOS AIRES;;
KILOMETRO 404;060840084000007;060840084000007;-37,6438;-59,8529;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
VILLA CACIQUE;060840084050000;060840084050000;-37,670477889;-59,400353339;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
EL SAUCE;060840084000005;060840084000005;-37,660797119;-59,566123966;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
BARKER;060840084010000;060840084010000;-37,64241113;-59,388938031;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
BENITO JUAREZ;060840084020000;060840084020000;-37,676641021;-59,805767711;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
CORONEL RODOLFO BUNGE;060840084000003;060840084000003;-37,5763984;-60,1392005;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
LOPEZ;060840084030000;060840084030000;-37,554512085;-59,627846154;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
SAN ANTONIO;060840084000017;060840084000017;-37,747276306;-59,816402438;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
EL LUCHADOR;060840084000004;060840084000004;-37,3214623;-60,292086;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
LA TINTA;060840084000011;060840084000011;-37,608386994;-59,514564518;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
TEDIN URIBURU;060840084040000;060840084040000;-37,368368625;-59,76303916;BENITO JUAREZ;BENITO JUAREZ;BUENOS AIRES;;
LOS CONQUISTADORES;300280115080000;300280115080000;-30,594407458;-58,468262706;LOS CONQUISTADORES;FEDERACION;ENTRE RÍOS;;
GANCEDO;220360091010000;220360091010000;-27,48964879;-61,673877171;GANCEDO;12 DE OCTUBRE;CHACO;;
LA BOLSA;220360091000022;220360091000022;-27,38206532;-61,62596109;GANCEDO;12 DE OCTUBRE;CHACO;;
LABORDE;141821666150000;141821666150000;-33,152989183;-62,856073778;LABORDE;UNION;CÓRDOBA;;
GENERAL GALARZA;300490168030000;300490168030000;-32,721271306;-59,395888703;GENERAL GALARZA;GUALEGUAY;ENTRE RÍOS;;
MOJOTORO;660770189000049;660770189000049;-24,709346771;-65,288383484;LA CALDERA;LA CALDERA;SALTA;;
ISLAS DE VAQUEROS;660770189000028;660770189000028;-24,603539;-65,380166;LA CALDERA;LA CALDERA;SALTA;;
SANTA GERTRUDIS;660770189000059;660770189000059;-24,6632061;-65,310188294;LA CALDERA;LA CALDERA;SALTA;;
LA CALDERILLA;660770189000029;660770189000029;-24,64152455;-65,38083679;LA CALDERA;LA CALDERA;SALTA;;
LOS SAUCES;660770189000045;660770189000045;-24,471033096;-65,376625061;LA CALDERA;LA CALDERA;SALTA;;
LOS PORONGOS;660770189000044;660770189000044;-24,53203392;-65,293510437;LA CALDERA;LA CALDERA;SALTA;;
LA CALDERA;660770189010000;660770189010000;-24,604948623;-65,38233773;LA CALDERA;LA CALDERA;SALTA;;
EL GALLINATO;660770189000010;660770189000010;-24,686607223;-65,286726845;LA CALDERA;LA CALDERA;SALTA;;
CAMPO ALEGRE;660770189000005;660770189000005;-24,57701543;-65,368728969;LA CALDERA;LA CALDERA;SALTA;;
LA FALDA DE SAN ANTONIO;100630161040003;100630161040003;-28,419848734;-65,698837796;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
EL HUECO;100630161040001;100630161040001;-28,412788451;-65,717536986;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
LA TERCENA;100630161040004;100630161040004;-28,373447348;-65,708129252;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
LA CARRERA;100630161040002;100630161040002;-28,349557681;-65,709119588;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
POMANCILLO;100630161000004;100630161000004;-28,301939011;-65,72743988;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
VILLA LAS PIRQUITAS;100630161050000;100630161050000;-28,275466521;-65,733431478;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
COLLAGASTA;100630161010000;100630161010000;-28,36167764;-65,728269016;FRAY MAMERTO ESQUIU;FRAY MAMERTO ESQUIU;CATAMARCA;;
